1
popSize bias beta 
4 0.2 0.2
170 0.356349 -0.356349  -0.0424399 0.0618421
180 0.356349 -0.356349  -0.0424399 0.0618421
190 0.356349 -0.356349  -0.0424399 0.0618421
200 0.356349 -0.356349  -0.0424399 0.0618421
210 0.356349 -0.356349  -0.0424399 0.0618421
220 0.356349 -0.356349  -0.0424399 0.0618421
230 0.356349 -0.356349  -0.0424399 0.0618421
240 0.356349 -0.356349  -0.0424399 0.0618421
250 0.356349 -0.356349  -0.0424399 0.0618421
260 0.356349 -0.356349  -0.0424399 0.0618421
270 0.356349 -0.356349  -0.0424399 0.0618421
280 0.356349 -0.356349  -0.0424399 0.0618421
290 0.356349 -0.356349  -0.0424399 0.0618421
300 0.356349 -0.356349  -0.0424399 0.0618421
310 0.356349 -0.356349  -0.0424399 0.0618421
320 0.356349 -0.356349  -0.0424399 0.0618421
330 0.356349 -0.356349  -0.0424399 0.0618421
340 0.356349 -0.356349  -0.0424399 0.0618421
350 0.356349 -0.356349  -0.0424399 0.0618421
360 0.356349 -0.356349  -0.0424399 0.0618421
370 0.356349 -0.356349  -0.0424399 0.0618421
380 0.356349 -0.356349  -0.0424399 0.0618421
390 0.356349 -0.356349  -0.0424399 0.0618421
400 0.356349 -0.356349  -0.0424399 0.0618421
410 0.356349 -0.356349  -0.0424399 0.0618421
420 0.356349 -0.356349  -0.0424399 0.0618421
430 0.356349 -0.356349  -0.0424399 0.0618421
440 0.356349 -0.356349  -0.0424399 0.0618421
450 0.356349 -0.356349  -0.0424399 0.0618421
460 0.356349 -0.356349  -0.0424399 0.0618421
470 0.356349 -0.356349  -0.0424399 0.0618421
480 0.356349 -0.356349  -0.0424399 0.0618421
490 0.356349 -0.356349  -0.0424399 0.0618421
500 0.356349 -0.356349  -0.0424399 0.0618421
10 8.28296 -8.28296  0.264529 -2.66626
20 8.04372 -8.04372  0.264529 -2.97557
30 3.42287 -3.42287  -0.223941 -0.452196
40 3.42287 -3.42287  -0.223941 -0.452196
50 3.42287 -3.42287  -0.223941 -0.452196
60 3.42287 -3.42287  -0.223941 -0.452196
70 3.22373 -3.22373  -0.000187596 -1.11322
80 2.92801 -2.92801  0.817692 0.0496705
90 2.92801 -2.92801  0.817692 0.0496705
100 2.92801 -2.92801  0.817692 0.0496705
110 0.838051 -0.838051  -0.129803 -0.0489626
120 0.838051 -0.838051  -0.129803 -0.0489626
130 0.838051 -0.838051  -0.129803 -0.0489626
140 0.838051 -0.838051  -0.129803 -0.0489626
150 0.838051 -0.838051  -0.129803 -0.0489626
160 0.838051 -0.838051  -0.129803 -0.0489626
170 0.838051 -0.838051  -0.129803 -0.0489626
180 0.838051 -0.838051  -0.129803 -0.0489626
190 0.838051 -0.838051  -0.129803 -0.0489626
200 0.838051 -0.838051  -0.129803 -0.0489626
210 0.838051 -0.838051  -0.129803 -0.0489626
220 0.838051 -0.838051  -0.129803 -0.0489626
230 0.838051 -0.838051  -0.129803 -0.0489626
240 0.838051 -0.838051  -0.129803 -0.0489626
250 0.838051 -0.838051  -0.129803 -0.0489626
260 0.838051 -0.838051  -0.129803 -0.0489626
270 0.838051 -0.838051  -0.129803 -0.0489626
280 0.838051 -0.838051  -0.129803 -0.0489626
290 0.838051 -0.838051  -0.129803 -0.0489626
300 0.838051 -0.838051  -0.129803 -0.0489626
310 0.838051 -0.838051  -0.129803 -0.0489626
320 0.838051 -0.838051  -0.129803 -0.0489626
330 0.838051 -0.838051  -0.129803 -0.0489626
340 0.838051 -0.838051  -0.129803 -0.0489626
350 0.838051 -0.838051  -0.129803 -0.0489626
360 0.838051 -0.838051  -0.129803 -0.0489626
370 0.838051 -0.838051  -0.129803 -0.0489626
380 0.838051 -0.838051  -0.129803 -0.0489626
390 0.838051 -0.838051  -0.129803 -0.0489626
400 0.838051 -0.838051  -0.129803 -0.0489626
410 0.838051 -0.838051  -0.129803 -0.0489626
420 0.838051 -0.838051  -0.129803 -0.0489626
430 0.838051 -0.838051  -0.129803 -0.0489626
440 0.838051 -0.838051  -0.129803 -0.0489626
450 0.838051 -0.838051  -0.129803 -0.0489626
460 0.838051 -0.838051  -0.129803 -0.0489626
470 0.838051 -0.838051  -0.129803 -0.0489626
480 0.838051 -0.838051  -0.129803 -0.0489626
490 0.838051 -0.838051  -0.129803 -0.0489626
500 0.838051 -0.838051  -0.129803 -0.0489626
10 6.81022 -6.81022  0.359684 2.09489
20 5.85981 -5.85981  1.9241 -0.830848
30 5.15462 -5.15462  1.14957 0.624232
40 4.57394 -4.57394  0.799754 0.624232
50 4.57394 -4.57394  0.799754 0.624232
60 2.59083 -2.59083  -0.0131246 0.96802
70 2.59083 -2.59083  -0.0131246 0.96802
80 2.59083 -2.59083  -0.0131246 0.96802
90 2.59083 -2.59083  -0.0131246 0.96802
100 2.59083 -2.59083  -0.0131246 0.96802
110 2.59083 -2.59083  -0.0131246 0.96802
120 2.59083 -2.59083  -0.0131246 0.96802
130 2.59083 -2.59083  -0.0131246 0.96802
140 2.59083 -2.59083  -0.0131246 0.96802
150 2.59083 -2.59083  -0.0131246 0.96802
160 2.59083 -2.59083  -0.0131246 0.96802
170 1.13887 -1.13887  -0.0131246 -0.174494
180 1.13887 -1.13887  -0.0131246 -0.174494
190 1.13887 -1.13887  -0.0131246 -0.174494
200 1.13887 -1.13887  -0.0131246 -0.174494
210 1.13887 -1.13887  -0.0131246 -0.174494
220 1.13887 -1.13887  -0.0131246 -0.174494
230 1.13887 -1.13887  -0.0131246 -0.174494
240 1.13887 -1.13887  -0.0131246 -0.174494
250 1.13887 -1.13887  -0.0131246 -0.174494
260 1.13887 -1.13887  -0.0131246 -0.174494
270 1.13887 -1.13887  -0.0131246 -0.174494
280 1.13887 -1.13887  -0.0131246 -0.174494
290 1.13887 -1.13887  -0.0131246 -0.174494
300 1.13887 -1.13887  -0.0131246 -0.174494
310 1.13887 -1.13887  -0.0131246 -0.174494
320 1.13887 -1.13887  -0.0131246 -0.174494
330 1.13887 -1.13887  -0.0131246 -0.174494
340 1.13887 -1.13887  -0.0131246 -0.174494
350 1.13887 -1.13887  -0.0131246 -0.174494
360 1.13887 -1.13887  -0.0131246 -0.174494
370 1.13887 -1.13887  -0.0131246 -0.174494
380 1.13887 -1.13887  -0.0131246 -0.174494
390 1.13887 -1.13887  -0.0131246 -0.174494
400 1.13887 -1.13887  -0.0131246 -0.174494
410 1.13887 -1.13887  -0.0131246 -0.174494
420 1.13887 -1.13887  -0.0131246 -0.174494
430 1.13887 -1.13887  -0.0131246 -0.174494
440 1.13887 -1.13887  -0.0131246 -0.174494
450 1.13887 -1.13887  -0.0131246 -0.174494
460 1.13887 -1.13887  -0.0131246 -0.174494
470 1.13887 -1.13887  -0.0131246 -0.174494
480 1.13887 -1.13887  -0.0131246 -0.174494
490 1.13887 -1.13887  -0.0131246 -0.174494
500 1.13887 -1.13887  -0.0131246 -0.174494
10 5.06402 -5.06402  -0.505034 1.1272
20 5.06402 -5.06402  -0.505034 1.1272
30 5.06402 -5.06402  -0.505034 1.1272
40 3.63855 -3.63855  0.233416 -0.859145
50 3.63855 -3.63855  0.233416 -0.859145
60 3.63855 -3.63855  0.233416 -0.859145
70 3.63855 -3.63855  0.233416 -0.859145
80 2.40885 -2.40885  0.301942 -0.125129
90 1.68976 -1.68976  0.233416 0.0510352
100 1.68976 -1.68976  0.233416 0.0510352
110 1.68976 -1.68976  0.233416 0.0510352
120 1.68976 -1.68976  0.233416 0.0510352
130 1.68976 -1.68976  0.233416 0.0510352
140 1.68976 -1.68976  0.233416 0.0510352
150 1.68976 -1.68976  0.233416 0.0510352
160 1.68976 -1.68976  0.233416 0.0510352
170 1.68976 -1.68976  0.233416 0.0510352
180 1.68976 -1.68976  0.233416 0.0510352
190 1.68976 -1.68976  0.233416 0.0510352
200 1.68976 -1.68976  0.233416 0.0510352
210 1.68976 -1.68976  0.233416 0.0510352
220 1.68976 -1.68976  0.233416 0.0510352
230 1.68976 -1.68976  0.233416 0.0510352
240 1.68976 -1.68976  0.233416 0.0510352
250 1.68976 -1.68976  0.233416 0.0510352
260 1.68976 -1.68976  0.233416 0.0510352
270 1.68976 -1.68976  0.233416 0.0510352
280 1.68976 -1.68976  0.233416 0.0510352
290 1.68976 -1.68976  0.233416 0.0510352
300 1.68976 -1.68976  0.233416 0.0510352
310 1.68976 -1.68976  0.233416 0.0510352
320 1.68976 -1.68976  0.233416 0.0510352
330 1.68976 -1.68976  0.233416 0.0510352
340 1.68976 -1.68976  0.233416 0.0510352
350 1.68976 -1.68976  0.233416 0.0510352
360 1.68976 -1.68976  0.233416 0.0510352
370 1.68976 -1.68976  0.233416 0.0510352
