1
popSize bias beta 
4 0.2 0.2
150 -17.6441 -1.56442  -8.39951 9.4648
160 -17.6441 -1.56442  -8.39951 9.4648
170 -19.1314 -0.0771024  8.09878 -9.7396
180 -19.1314 -0.0771024  8.09878 -9.7396
190 -19.1314 -0.0771024  8.09878 -9.7396
200 -19.1314 -0.0771024  8.09878 -9.7396
210 -19.1314 -0.0771024  8.09878 -9.7396
220 -19.1314 -0.0771024  8.09878 -9.7396
230 -19.1314 -0.0771024  8.09878 -9.7396
240 -19.1314 -0.0771024  8.09878 -9.7396
250 -19.1314 -0.0771024  8.09878 -9.7396
260 -19.1314 -0.0771024  8.09878 -9.7396
270 -19.1314 -0.0771024  8.09878 -9.7396
280 -19.1314 -0.0771024  8.09878 -9.7396
290 -19.1314 -0.0771024  8.09878 -9.7396
300 -19.1314 -0.0771024  8.09878 -9.7396
310 -19.1314 -0.0771024  8.09878 -9.7396
320 -19.1314 -0.0771024  8.09878 -9.7396
330 -19.1314 -0.0771024  8.09878 -9.7396
340 -19.1314 -0.0771024  8.09878 -9.7396
350 -19.1314 -0.0771024  8.09878 -9.7396
360 -19.1314 -0.0771024  8.09878 -9.7396
370 -19.1314 -0.0771024  8.09878 -9.7396
380 -19.1314 -0.0771024  8.09878 -9.7396
390 -19.1314 -0.0771024  8.09878 -9.7396
400 -19.1314 -0.0771024  8.09878 -9.7396
410 -19.1314 -0.0771024  8.09878 -9.7396
420 -19.1314 -0.0771024  8.09878 -9.7396
430 -19.1314 -0.0771024  8.09878 -9.7396
440 -19.1314 -0.0771024  8.09878 -9.7396
450 -19.1314 -0.0771024  8.09878 -9.7396
460 -19.1314 -0.0771024  8.09878 -9.7396
470 -19.1314 -0.0771024  8.09878 -9.7396
480 -19.1314 -0.0771024  8.09878 -9.7396
490 -19.1314 -0.0771024  8.09878 -9.7396
500 -19.1314 -0.0771024  8.09878 -9.7396
10 -4.94527 -14.2632  7.82106 3.67961
20 -18.575 -0.633504  7.82106 -9.77384
30 -18.575 -0.633504  7.82106 -9.77384
40 -18.575 -0.633504  7.82106 -9.77384
50 -18.575 -0.633504  7.82106 -9.77384
60 -18.575 -0.633504  7.82106 -9.77384
70 -18.575 -0.633504  7.82106 -9.77384
80 -18.575 -0.633504  7.82106 -9.77384
90 -18.575 -0.633504  7.82106 -9.77384
100 -18.575 -0.633504  7.82106 -9.77384
110 -18.575 -0.633504  7.82106 -9.77384
120 -18.6495 -0.558994  -7.85729 9.80225
130 -18.7196 -0.488948  -7.85729 -9.77384
140 -18.7196 -0.488948  -7.85729 -9.77384
150 -18.7196 -0.488948  -7.85729 -9.77384
160 -18.7196 -0.488948  -7.85729 -9.77384
170 -18.7196 -0.488948  -7.85729 -9.77384
