1
popSize bias beta 
4 0.2 0.2
350 -4.09789 -0.155999  -1.66367 -1.62773
360 -4.09789 -0.155999  -1.66367 -1.62773
370 -4.09789 -0.155999  -1.66367 -1.62773
380 -4.09789 -0.155999  -1.66367 -1.62773
390 -4.09789 -0.155999  -1.66367 -1.62773
400 -4.09789 -0.155999  -1.66367 -1.62773
410 -4.09789 -0.155999  -1.66367 -1.62773
420 -4.09789 -0.155999  -1.66367 -1.62773
430 -4.09789 -0.155999  -1.66367 -1.62773
440 -4.09789 -0.155999  -1.66367 -1.62773
450 -4.09789 -0.155999  -1.66367 -1.62773
460 -4.09789 -0.155999  -1.66367 -1.62773
470 -4.09789 -0.155999  -1.66367 -1.62773
480 -4.09789 -0.155999  -1.66367 -1.62773
490 -4.09789 -0.155999  -1.66367 -1.62773
500 -4.09789 -0.155999  -1.66367 -1.62773
10 -1.96067 -2.29322  1.11795 -1.49183
20 -4.1493 -0.104593  1.62854 1.65734
