popSize bias beta 
4 0.2 0.2
10 10.3128 -10.3128  -0.253209 -3.20136
440 0.0310147 -0.0310147  0.146253 0.0981066
450 0.0310147 -0.0310147  0.146253 0.0981066
460 0.0310147 -0.0310147  0.146253 0.0981066
470 0.0310147 -0.0310147  0.146253 0.0981066
480 0.0310147 -0.0310147  0.146253 0.0981066
490 0.0310147 -0.0310147  0.146253 0.0981066
500 0.0310147 -0.0310147  0.146253 0.0981066
10 4.90981 -4.90981  -1.60194 1.53088
20 4.90981 -4.90981  -1.60194 1.53088
30 4.90981 -4.90981  -1.60194 1.53088
40 0.0494811 -0.0494811  -0.169654 -0.143871
50 0.0494811 -0.0494811  -0.169654 -0.143871
60 0.0494811 -0.0494811  -0.169654 -0.143871
70 0.0494811 -0.0494811  -0.169654 -0.143871
80 0.0494811 -0.0494811  -0.169654 -0.143871
90 0.0494811 -0.0494811  -0.169654 -0.143871
100 0.0494811 -0.0494811  -0.169654 -0.143871
110 0.0494811 -0.0494811  -0.169654 -0.143871
120 0.0494811 -0.0494811  -0.169654 -0.143871
130 0.0494811 -0.0494811  -0.169654 -0.143871
140 0.0494811 -0.0494811  -0.169654 -0.143871
150 0.0494811 -0.0494811  -0.169654 -0.143871
160 0.0494811 -0.0494811  -0.169654 -0.143871
170 0.0494811 -0.0494811  -0.169654 -0.143871
180 0.0494811 -0.0494811  -0.169654 -0.143871
190 0.0494811 -0.0494811  -0.169654 -0.143871
200 0.0494811 -0.0494811  -0.169654 -0.143871
210 0.0494811 -0.0494811  -0.169654 -0.143871
220 0.0494811 -0.0494811  -0.169654 -0.143871
230 0.0494811 -0.0494811  -0.169654 -0.143871
240 0.0494811 -0.0494811  -0.169654 -0.143871
250 0.0494811 -0.0494811  -0.169654 -0.143871
260 0.0494811 -0.0494811  -0.169654 -0.143871
270 0.0494811 -0.0494811  -0.169654 -0.143871
280 0.0494811 -0.0494811  -0.169654 -0.143871
290 0.0494811 -0.0494811  -0.169654 -0.143871
300 0.0494811 -0.0494811  -0.169654 -0.143871
310 0.0494811 -0.0494811  -0.169654 -0.143871
320 0.0494811 -0.0494811  -0.169654 -0.143871
