popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
140 -19.2053 -0.00323649  8.03888 -9.67297
150 -19.2053 -0.00323649  8.03888 -9.67297
160 -19.2053 -0.00323649  8.03888 -9.67297
170 -19.2053 -0.00323649  8.03888 -9.67297
180 -19.2053 -0.00323649  8.03888 -9.67297
190 -19.2053 -0.00323649  8.03888 -9.67297
200 -19.2053 -0.00323649  8.03888 -9.67297
210 -19.2053 -0.00323649  8.03888 -9.67297
220 -19.2053 -0.00323649  8.03888 -9.67297
230 -19.2053 -0.00323649  8.03888 -9.67297
240 -19.2053 -0.00323649  8.03888 -9.67297
250 -19.2053 -0.00323649  8.03888 -9.67297
260 -19.2053 -0.00323649  8.03888 -9.67297
270 -19.2053 -0.00323649  8.03888 -9.67297
280 -19.2053 -0.00323649  8.03888 -9.67297
290 -19.2053 -0.00323649  8.03888 -9.67297
300 -19.2053 -0.00323649  8.03888 -9.67297
310 -19.2053 -0.00323649  8.03888 -9.67297
320 -19.2053 -0.00323649  8.03888 -9.67297
330 -19.2053 -0.00323649  8.03888 -9.67297
340 -19.2053 -0.00323649  8.03888 -9.67297
350 -19.2053 -0.00323649  8.03888 -9.67297
360 -19.2053 -0.00323649  8.03888 -9.67297
10 -14.4198 -4.78874  9.93646 -9.68097
20 -14.4198 -4.78874  9.93646 -9.68097
30 -14.4198 -4.78874  9.93646 -9.68097
40 -15.0586 -4.14992  9.96403 -9.49386
50 -15.798 -3.41054  9.99479 -9.4435
60 -15.798 -3.41054  9.99479 -9.4435
70 -15.798 -3.41054  9.99479 -9.4435
80 -15.798 -3.41054  9.99479 -9.4435
90 -15.798 -3.41054  9.99479 -9.4435
100 -15.798 -3.41054  9.99479 -9.4435
110 -15.798 -3.41054  9.99479 -9.4435
120 -15.798 -3.41054  9.99479 -9.4435
130 -16.1556 -3.05286  9.99693 -9.69509
140 -16.1556 -3.05286  9.99693 -9.69509
150 -16.1556 -3.05286  9.99693 -9.69509
160 -16.1556 -3.05286  9.99693 -9.69509
170 -16.1556 -3.05286  9.99693 -9.69509
180 -16.1556 -3.05286  9.99693 -9.69509
190 -16.1556 -3.05286  9.99693 -9.69509
200 -16.1556 -3.05286  9.99693 -9.69509
10 -7.14901 -12.0595  -7.35252 -6.54985
20 -7.38498 -11.8235  -7.40211 -6.37407
30 -7.38541 -11.8231  -7.40206 -6.3749
40 -7.38557 -11.8229  -7.40211 -6.37478
50 -9.08096 -10.1275  -7.97965 -6.20354
60 -9.2659 -9.9426  -7.94947 -6.31362
70 -9.2659 -9.9426  -7.94947 -6.31362
80 -9.2659 -9.9426  -7.94947 -6.31362
90 -9.2659 -9.9426  -7.94947 -6.31362
100 -9.2659 -9.9426  -7.94947 -6.31362
110 -9.2659 -9.9426  -7.94947 -6.31362
120 -9.2659 -9.9426  -7.94947 -6.31362
130 -9.2659 -9.9426  -7.94947 -6.31362
140 -9.2659 -9.9426  -7.94947 -6.31362
150 -9.2659 -9.9426  -7.94947 -6.31362
160 -9.2659 -9.9426  -7.94947 -6.31362
170 -9.50326 -9.70524  -8.08074 -6.48056
180 -9.50326 -9.70524  -8.08074 -6.48056
190 -9.50326 -9.70524  -8.08074 -6.48056
200 -9.50326 -9.70524  -8.08074 -6.48056
210 -9.50326 -9.70524  -8.08074 -6.48056
220 -9.50326 -9.70524  -8.08074 -6.48056
230 -9.50326 -9.70524  -8.08074 -6.48056
240 -9.50326 -9.70524  -8.08074 -6.48056
250 -9.50326 -9.70524  -8.08074 -6.48056
260 -9.50326 -9.70524  -8.08074 -6.48056
270 -9.50326 -9.70524  -8.08074 -6.48056
280 -9.50326 -9.70524  -8.08074 -6.48056
290 -9.50326 -9.70524  -8.08074 -6.48056
300 -9.50326 -9.70524  -8.08074 -6.48056
310 -9.50326 -9.70524  -8.08074 -6.48056
320 -9.50326 -9.70524  -8.08074 -6.48056
330 -9.50326 -9.70524  -8.08074 -6.48056
340 -9.50326 -9.70524  -8.08074 -6.48056
350 -9.50326 -9.70524  -8.08074 -6.48056
360 -9.50326 -9.70524  -8.08074 -6.48056
370 -9.50326 -9.70524  -8.08074 -6.48056
380 -9.50326 -9.70524  -8.08074 -6.48056
390 -9.50326 -9.70524  -8.08074 -6.48056
400 -9.50326 -9.70524  -8.08074 -6.48056
410 -9.50326 -9.70524  -8.08074 -6.48056
420 -9.50326 -9.70524  -8.08074 -6.48056
430 -9.50326 -9.70524  -8.08074 -6.48056
440 -9.50326 -9.70524  -8.08074 -6.48056
450 -9.50326 -9.70524  -8.08074 -6.48056
460 -9.50326 -9.70524  -8.08074 -6.48056
470 -9.50326 -9.70524  -8.08074 -6.48056
480 -9.50326 -9.70524  -8.08074 -6.48056
490 -9.50326 -9.70524  -8.08074 -6.48056
500 -9.50326 -9.70524  -8.08074 -6.48056
10 -17.3206 -1.8879  -7.91039 -9.23739
20 -17.3206 -1.8879  -7.91039 -9.23739
30 -17.3206 -1.8879  -7.91039 -9.23739
40 -18.5905 -0.618003  -8.26548 -9.52907
50 -18.8058 -0.402728  -8.14255 -9.48022
60 -18.8058 -0.402728  -8.14255 -9.48022
70 -19.0533 -0.155201  -8.07581 -9.54062
80 -19.0695 -0.139048  -8.0725 -9.547
90 -19.0695 -0.139048  -8.0725 -9.547
100 -19.0695 -0.139048  -8.0725 -9.547
110 -19.0695 -0.139048  -8.0725 -9.547
120 -19.1904 -0.0181179  -8.0836 -9.6326
130 -19.1904 -0.0181179  -8.0836 -9.6326
140 -19.1904 -0.0181179  -8.0836 -9.6326
150 -19.1904 -0.0181179  -8.0836 -9.6326
