popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
60 0.00050364 -0.00050364  -0.00369848 -0.0221351
70 0.00050364 -0.00050364  -0.00369848 -0.0221351
80 0.00050364 -0.00050364  -0.00369848 -0.0221351
90 0.00050364 -0.00050364  -0.00369848 -0.0221351
100 0.00050364 -0.00050364  -0.00369848 -0.0221351
110 0.00050364 -0.00050364  -0.00369848 -0.0221351
120 0.00050364 -0.00050364  -0.00369848 -0.0221351
130 0.00050364 -0.00050364  -0.00369848 -0.0221351
140 0.00050364 -0.00050364  -0.00369848 -0.0221351
150 0.00050364 -0.00050364  -0.00369848 -0.0221351
160 0.00050364 -0.00050364  -0.00369848 -0.0221351
170 0.00050364 -0.00050364  -0.00369848 -0.0221351
180 0.00050364 -0.00050364  -0.00369848 -0.0221351
190 0.00050364 -0.00050364  -0.00369848 -0.0221351
200 0.00050364 -0.00050364  -0.00369848 -0.0221351
210 0.00050364 -0.00050364  -0.00369848 -0.0221351
220 0.00050364 -0.00050364  -0.00369848 -0.0221351
230 0.00050364 -0.00050364  -0.00369848 -0.0221351
240 0.00050364 -0.00050364  -0.00369848 -0.0221351
250 0.00050364 -0.00050364  -0.00369848 -0.0221351
260 0.00050364 -0.00050364  -0.00369848 -0.0221351
270 0.00050364 -0.00050364  -0.00369848 -0.0221351
280 0.00050364 -0.00050364  -0.00369848 -0.0221351
290 0.00050364 -0.00050364  -0.00369848 -0.0221351
300 0.00050364 -0.00050364  -0.00369848 -0.0221351
310 0.00050364 -0.00050364  -0.00369848 -0.0221351
320 0.00050364 -0.00050364  -0.00369848 -0.0221351
330 0.00050364 -0.00050364  -0.00369848 -0.0221351
340 0.00050364 -0.00050364  -0.00369848 -0.0221351
350 0.00050364 -0.00050364  -0.00369848 -0.0221351
360 0.00050364 -0.00050364  -0.00369848 -0.0221351
370 0.00050364 -0.00050364  -0.00369848 -0.0221351
380 0.00050364 -0.00050364  -0.00369848 -0.0221351
390 0.00050364 -0.00050364  -0.00369848 -0.0221351
400 0.00050364 -0.00050364  -0.00369848 -0.0221351
410 0.00050364 -0.00050364  -0.00369848 -0.0221351
420 0.00050364 -0.00050364  -0.00369848 -0.0221351
430 0.00050364 -0.00050364  -0.00369848 -0.0221351
440 0.00050364 -0.00050364  -0.00369848 -0.0221351
450 0.00050364 -0.00050364  -0.00369848 -0.0221351
460 0.00050364 -0.00050364  -0.00369848 -0.0221351
470 0.00050364 -0.00050364  -0.00369848 -0.0221351
480 0.00050364 -0.00050364  -0.00369848 -0.0221351
490 0.00050364 -0.00050364  -0.00369848 -0.0221351
500 0.00050364 -0.00050364  -0.00369848 -0.0221351
10 1.23025 -1.23025  0.899318 -0.649216
20 0.982245 -0.982245  -0.222037 -0.96589
30 0.525989 -0.525989  0.208167 -0.694734
40 0.511685 -0.511685  -0.0834221 -0.71044
50 0.493301 -0.493301  0.0358372 -0.701439
60 0.492305 -0.492305  0.00800626 -0.701599
70 0.0019066 -0.0019066  0.0405322 -0.01624
80 0.0019066 -0.0019066  0.0405322 -0.01624
90 0.0019066 -0.0019066  0.0405322 -0.01624
100 0.0019066 -0.0019066  0.0405322 -0.01624
110 0.0019066 -0.0019066  0.0405322 -0.01624
120 0.0019066 -0.0019066  0.0405322 -0.01624
130 0.0019066 -0.0019066  0.0405322 -0.01624
140 0.0019066 -0.0019066  0.0405322 -0.01624
150 0.0019066 -0.0019066  0.0405322 -0.01624
160 0.0019066 -0.0019066  0.0405322 -0.01624
170 0.0019066 -0.0019066  0.0405322 -0.01624
180 0.0019066 -0.0019066  0.0405322 -0.01624
190 0.0019066 -0.0019066  0.0405322 -0.01624
200 0.0019066 -0.0019066  0.0405322 -0.01624
210 0.0019066 -0.0019066  0.0405322 -0.01624
220 0.0019066 -0.0019066  0.0405322 -0.01624
230 0.0019066 -0.0019066  0.0405322 -0.01624
240 0.0019066 -0.0019066  0.0405322 -0.01624
250 0.0019066 -0.0019066  0.0405322 -0.01624
260 0.0019066 -0.0019066  0.0405322 -0.01624
270 0.0019066 -0.0019066  0.0405322 -0.01624
280 0.0019066 -0.0019066  0.0405322 -0.01624
290 0.0019066 -0.0019066  0.0405322 -0.01624
300 0.0019066 -0.0019066  0.0405322 -0.01624
310 0.0019066 -0.0019066  0.0405322 -0.01624
320 0.0019066 -0.0019066  0.0405322 -0.01624
330 0.0019066 -0.0019066  0.0405322 -0.01624
340 0.0019066 -0.0019066  0.0405322 -0.01624
350 0.0019066 -0.0019066  0.0405322 -0.01624
360 0.0019066 -0.0019066  0.0405322 -0.01624
370 0.0019066 -0.0019066  0.0405322 -0.01624
380 0.0019066 -0.0019066  0.0405322 -0.01624
390 0.0019066 -0.0019066  0.0405322 -0.01624
400 0.0019066 -0.0019066  0.0405322 -0.01624
410 0.0019066 -0.0019066  0.0405322 -0.01624
420 0.0019066 -0.0019066  0.0405322 -0.01624
430 0.0019066 -0.0019066  0.0405322 -0.01624
440 0.0019066 -0.0019066  0.0405322 -0.01624
450 0.0019066 -0.0019066  0.0405322 -0.01624
460 0.0019066 -0.0019066  0.0405322 -0.01624
470 0.0019066 -0.0019066  0.0405322 -0.01624
480 0.0019066 -0.0019066  0.0405322 -0.01624
490 0.0019066 -0.0019066  0.0405322 -0.01624
500 0.0019066 -0.0019066  0.0405322 -0.01624
10 31.761 -31.761  -1.86966 -5.31652
20 5.90753 -5.90753  -1.45633 1.94593
30 3.24319 -3.24319  -0.685909 1.66515
40 2.34562 -2.34562  -1.42826 0.552895
50 1.46987 -1.46987  -0.823341 0.889935
60 1.46987 -1.46987  -0.823341 0.889935
70 0.00821822 -0.00821822  -0.0826781 0.0371828
80 0.00821822 -0.00821822  -0.0826781 0.0371828
90 0.00821822 -0.00821822  -0.0826781 0.0371828
100 0.00821822 -0.00821822  -0.0826781 0.0371828
110 0.00821822 -0.00821822  -0.0826781 0.0371828
120 0.000734877 -0.000734877  -0.0218088 0.0161013
130 0.000734877 -0.000734877  -0.0218088 0.0161013
140 0.000734877 -0.000734877  -0.0218088 0.0161013
150 0.000734877 -0.000734877  -0.0218088 0.0161013
160 0.000734877 -0.000734877  -0.0218088 0.0161013
170 0.000734877 -0.000734877  -0.0218088 0.0161013
180 0.000734877 -0.000734877  -0.0218088 0.0161013
190 0.000734877 -0.000734877  -0.0218088 0.0161013
200 0.000734877 -0.000734877  -0.0218088 0.0161013
210 0.000734877 -0.000734877  -0.0218088 0.0161013
220 5.02404e-05 -5.02404e-05  -0.00682915 -0.0018982
230 5.00995e-05 -5.00995e-05  -0.00677577 -0.00204657
240 4.96884e-05 -4.96884e-05  -0.00678005 -0.00192856
250 4.96884e-05 -4.96884e-05  -0.00678005 -0.00192856
260 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
270 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
280 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
290 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
300 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
310 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
320 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
330 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
340 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
350 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
360 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
370 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
380 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
390 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
400 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
410 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
420 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
430 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
440 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
450 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
460 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
470 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
480 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
490 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
500 4.9681e-05 -4.9681e-05  -0.0067785 -0.00193209
10 16.8287 -16.8287  -3.91285 -1.23219
20 3.10823 -3.10823  -0.548121 -1.67565
30 1.53433 -1.53433  -1.16798 0.41249
40 0.952442 -0.952442  -0.875261 0.431694
50 0.736594 -0.736594  -0.846717 -0.140229
60 0.72004 -0.72004  -0.847648 -0.0391528
70 0.313742 -0.313742  -0.0525748 0.557654
80 0.0162613 -0.0162613  0.00636178 -0.127361
90 0.00820948 -0.00820948  0.0538349 0.0728786
100 0.000431688 -0.000431688  -0.00584325 -0.0199385
110 0.000262036 -0.000262036  -0.00502708 -0.0153871
120 0.000262036 -0.000262036  -0.00502708 -0.0153871
130 0.000262036 -0.000262036  -0.00502708 -0.0153871
140 0.000262036 -0.000262036  -0.00502708 -0.0153871
150 0.000262036 -0.000262036  -0.00502708 -0.0153871
160 0.000262036 -0.000262036  -0.00502708 -0.0153871
170 0.000262036 -0.000262036  -0.00502708 -0.0153871
180 0.000262036 -0.000262036  -0.00502708 -0.0153871
190 0.000262036 -0.000262036  -0.00502708 -0.0153871
200 0.000262036 -0.000262036  -0.00502708 -0.0153871
210 0.000262036 -0.000262036  -0.00502708 -0.0153871
220 0.000262036 -0.000262036  -0.00502708 -0.0153871
230 0.000262036 -0.000262036  -0.00502708 -0.0153871
240 0.000262036 -0.000262036  -0.00502708 -0.0153871
250 0.000262036 -0.000262036  -0.00502708 -0.0153871
260 0.000262036 -0.000262036  -0.00502708 -0.0153871
270 0.000262036 -0.000262036  -0.00502708 -0.0153871
280 0.000262036 -0.000262036  -0.00502708 -0.0153871
290 0.000262036 -0.000262036  -0.00502708 -0.0153871
300 0.000262036 -0.000262036  -0.00502708 -0.0153871
310 0.000262036 -0.000262036  -0.00502708 -0.0153871
