popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
10 3.7937 -3.7937  0.884906 1.01525
500 0.00522992 -0.00522992  -0.0015575 -0.000937607
10 6.18581 -6.18581  -1.50091 -0.952353
20 3.98599 -3.98599  -0.352466 0.529648
30 2.88522 -2.88522  0.100566 -0.896451
40 2.72724 -2.72724  -0.024789 -0.86988
50 2.72724 -2.72724  -0.024789 -0.86988
60 2.72724 -2.72724  -0.024789 -0.86988
70 2.72724 -2.72724  -0.024789 -0.86988
80 2.72724 -2.72724  -0.024789 -0.86988
90 2.72724 -2.72724  -0.024789 -0.86988
100 2.72724 -2.72724  -0.024789 -0.86988
110 2.72724 -2.72724  -0.024789 -0.86988
120 2.72724 -2.72724  -0.024789 -0.86988
130 2.72724 -2.72724  -0.024789 -0.86988
140 2.72347 -2.72347  -0.0209527 -0.869716
150 2.72312 -2.72312  -0.0210001 -0.869858
160 2.72312 -2.72312  -0.0210001 -0.869858
170 2.72312 -2.72312  -0.0210001 -0.869858
180 2.59672 -2.59672  0.00116232 -0.924898
190 2.59672 -2.59672  0.00116232 -0.924898
200 2.59672 -2.59672  0.00116232 -0.924898
210 2.59672 -2.59672  0.00116232 -0.924898
220 2.59672 -2.59672  0.00116232 -0.924898
230 2.59672 -2.59672  0.00116232 -0.924898
240 2.59672 -2.59672  0.00116232 -0.924898
250 2.59672 -2.59672  0.00116232 -0.924898
260 2.59672 -2.59672  0.00116232 -0.924898
270 2.59672 -2.59672  0.00116232 -0.924898
